      schema      |           object_name            | object_type 
------------------+----------------------------------+-------------
 anaplan_dev      | ad_chargemodel                   | table
 anaplan_dev      | ad_chargemodel_v                 | view
 anaplan_dev      | ad_costcenter_l3code_v           | view
 anaplan_dev      | ad_counterunits_v                | view
 anaplan_dev      | ad_currencyrates_last_v          | view
 anaplan_dev      | ad_currencyrates_v               | view
 anaplan_dev      | ad_customer_conversion           | table
 anaplan_dev      | ad_excisegroups_v                | view
 anaplan_dev      | ad_last_purch_price              | table
 anaplan_dev      | ad_last_purch_price_calc_v       | view
 anaplan_dev      | ad_market_data                   | table
 anaplan_dev      | ad_pricelist_customer_20240125_v | view
 anaplan_dev      | ad_pricelist_customer_new_v      | view
 anaplan_dev      | ad_pricelist_customer_v          | view
 anaplan_dev      | ad_purchase_agreement_prices_v   | view
 anaplan_dev      | ad_sales_check_customer_v        | view
 anaplan_dev      | ad_sales_check_item_v            | view
 anaplan_dev      | anap_currencyrates               | table
 anaplan_dev      | avg_price_until                  | table
 anaplan_dev      | f116000000000                    | table
 anaplan_dev      | f116000000004                    | table
 anaplan_dev      | f116000000005                    | table
 anaplan_dev      | f116000000009                    | table
 anaplan_dev      | f116000000022                    | table
 anaplan_dev      | f116000000023                    | table
 anaplan_dev      | f116000000048                    | table
 anaplan_dev      | f116000000049                    | table
 anaplan_dev      | http_blob_test                   | table
 anaplan_dev      | last_purch_price                 | table
 anaplan_dev      | last_purchase_price              | table
 anaplan_dev      | md_account_cloud_v               | view
 anaplan_dev      | md_account_v                     | view
 anaplan_dev      | md_budget_customer               | table
 anaplan_dev      | md_budget_customer_200           | table
 anaplan_dev      | md_cogs_materials_v              | view
 anaplan_dev      | md_costcenter_v                  | view
 anaplan_dev      | md_customer_detail_t             | table
 anaplan_dev      | md_customer_detail_v             | view
 anaplan_dev      | md_customer_v                    | view
 anaplan_dev      | md_deliverydate_v                | view
 anaplan_dev      | md_deliverygroups_v              | view
 anaplan_dev      | md_pricelist_new_v               | view
 anaplan_dev      | md_pricelist_v                   | view
 anaplan_dev      | md_product_toa_v                 | view
 anaplan_dev      | md_product_v                     | view
 anaplan_dev      | md_semiproduct_v                 | view
 anaplan_dev      | md_workcenter_v                  | view
 anaplan_dev      | mm_daily_sales_det_v             | view
 anaplan_dev      | mm_daily_sales_v                 | view
 anaplan_dev      | ol_fixeddiscounts                | table
 anaplan_dev      | ol_salesinvoicediscounts         | table
 anaplan_dev      | td_account_movements_v           | view
 anaplan_dev      | td_actual_mo_time_v              | view
 anaplan_dev      | td_campaigns_v                   | view
 anaplan_dev      | td_capex_v                       | view
 anaplan_dev      | td_cogs_latestcost_v             | view
 anaplan_dev      | td_cogs_oh_costing_v             | view
 anaplan_dev      | td_cogs_operations_v             | view
 anaplan_dev      | td_cogs_recipe_v                 | view
 anaplan_dev      | td_delivery_v                    | view
 anaplan_dev      | td_depreciation_plan_v           | view
 anaplan_dev      | td_gl_sum_backup_20220616_v      | view
 anaplan_dev      | td_gl_sum_full_v                 | view
 anaplan_dev      | td_gl_sum_v                      | view
 anaplan_dev      | td_marketingmoney_v              | view
 anaplan_dev      | td_mondays                       | table
 anaplan_dev      | td_naturebased_cogs_v            | view
 anaplan_dev      | td_production_plan_v             | view
 anaplan_dev      | td_sales_sum                     | table
 anaplan_dev      | td_sales_sum_daily               | table
 anaplan_dev      | td_sales_sum_daily_full          | table
 anaplan_dev      | td_sales_sum_full                | table
 anaplan_dev      | tst_customer_detail_v            | view
 lbm3prd1_anaplan | ad_currencyrates_last            | table
 lbm3prd1_anaplan | ad_last_purch_price              | table
 lbm3prd1_anaplan | ad_purchase_agreement_prices     | table
 lbm3prd1_anaplan | md_cogs_materials                | table
 lbm3prd1_anaplan | md_costcenter                    | table
 lbm3prd1_anaplan | md_customer                      | table
 lbm3prd1_anaplan | md_customer_detail               | table
 lbm3prd1_anaplan | md_deliverydate                  | table
 lbm3prd1_anaplan | md_pricelist                     | table
 lbm3prd1_anaplan | md_product                       | table
 lbm3prd1_anaplan | md_workcenter                    | table
 lbm3prd1_anaplan | mwopts                           | table
 lbm3prd1_anaplan | td_account_movements             | table
 lbm3prd1_anaplan | td_capex                         | table
 lbm3prd1_anaplan | td_cogs_oh_costing               | table
 lbm3prd1_anaplan | td_cogs_operations               | table
 lbm3prd1_anaplan | td_cogs_recipe                   | table
 lbm3prd1_anaplan | td_marketingmoney                | table
 lbm3prd1_anaplan | td_naturebased_cogs              | table
 m3sky_anaplan    | ad_currencyrates                 | table
 m3sky_anaplan    | ad_currencyrates_last            | table
 m3sky_anaplan    | ad_last_purch_price              | table
 m3sky_anaplan    | ad_purchase_agreement_prices     | table
 m3sky_anaplan    | md_cogs_materials                | table
 m3sky_anaplan    | md_costcenter                    | table
 m3sky_anaplan    | md_customer                      | table
 m3sky_anaplan    | md_deliverydate                  | table
 m3sky_anaplan    | md_pricelist                     | table
 m3sky_anaplan    | md_product                       | table
 m3sky_anaplan    | md_workcenter                    | table
 m3sky_anaplan    | td_account_movements             | table
 m3sky_anaplan    | td_actual_mo_time                | table
 m3sky_anaplan    | td_campaigns                     | table
 m3sky_anaplan    | td_capex                         | table
 m3sky_anaplan    | td_cogs_latestcost               | table
 m3sky_anaplan    | td_cogs_oh_costing               | table
 m3sky_anaplan    | td_cogs_operations               | table
 m3sky_anaplan    | td_cogs_recipe                   | table
 m3sky_anaplan    | td_depreciation_plan             | table
 m3sky_anaplan    | td_marketingmoney                | table
 m3sky_anaplan    | td_naturebased_cogs              | table
 ref_dev          | capex_investment_code_rules      | table
 ref_dev          | charge_model_depofee_ids         | table
 ref_dev          | charge_model_excise_ids          | table
 ref_dev          | division_filter                  | table
 ref_dev          | excise_groups                    | table
 ref_dev          | excluded_internal_supplier_codes | table
 ref_dev          | l1_region_codes                  | table
 ref_dev          | l2_saleschannel_codes            | table
 ref_dev          | md_product_hie1_remap            | table
 ref_dev          | md_product_hie2_remap            | table
 ref_dev          | md_product_hie3_remap            | table
 ref_dev          | md_product_mmgrp5_remap          | table
 ref_dev          | md_product_packagegroup          | table
 ref_dev          | naturebased_cogs_is_line         | table
 ref_dev          | pricelist_customer_ref           | table
 ref_dev          | pricelist_region_map             | table
 ref_dev          | tst_l2_saleschannel_codes        | table
 ref_dev          | workcenter_group                 | table
(132 rows)

   schema    |         object_name          | object_type 
-------------+------------------------------+-------------
 anaplan_dev | create_dynamic_list          | function
 anaplan_dev | pro_anaplan_01               | procedure
 anaplan_dev | pro_write_clob_to_file       | procedure
